email_id,subject,participants,time,time_normalized,location,topic,processed_at
392,Re: Re: Marcacao de reuniao,Prof. Ricardo Mendes,,,remoto - zoom,Prof. Ricardo Mendes,2026-07-24T21:39:40.175057
1344,Fw: Cancelamento de reuniao,Professora Ana Costa,,,presencial - biblioteca,Professora Ana Costa,2026-07-24T21:39:40.326748
2843,Re: Pedido de esclarecimento,Professora Ana Costa,,,,Professora Ana Costa,2026-07-24T21:39:40.473902
3807,Re: Remarcacao de reuniao,Diretor do Curso,,,presencial - biblioteca,horarios do semestre,2026-07-24T21:39:40.632453
3946,Re: Marcacao de reuniao,Secretaria Academica,,,presencial - gabinete de orientacao,calendario de avaliacoes,2026-07-24T21:39:40.801331
3518,Re: Re: Marcacao de reuniao,Conselho Pedagogico,,,presencial - secretaria,Conselho Pedagogico,2026-07-24T21:39:40.952555
5588,RE: Reuniao sem efeito,Professor Luis Almeida,,,remoto - zoom,processo de estagio,2026-07-24T21:39:41.101280
1189,RE: Cancelamento de reuniao,Rita Fernandes,terca as 11h,2026-05-19T11:00:00,remoto - zoom,RE: Cancelamento de reuniao,2026-07-24T21:39:41.289929
9522,Tudo certo para a reuniao,Professor Luis Almeida,segunda de manha,2026-02-23T06:00:00/2026-02-23T12:00:00,presencial - gabinete da direcao,preparacao da defesa,2026-07-24T21:39:41.441383
8426,RE: Reuniao confirmada,Rita Fernandes,,,remoto - zoom,RE: Reuniao confirmada,2026-07-24T21:39:41.586938
734,RE: Agendamento - preparacao da defesa,Mariana Lopes,ao final do dia,,presencial - biblioteca,preparacao da defesa,2026-07-24T21:39:41.817954
3197,Re: Imprevisto - horarios do semestre,Mariana Lopes,amanha as 15h,2026-03-11T15:00:00,presencial - sala de reunioes do departamento,horarios do semestre,2026-07-24T21:39:42.015039
5342,Re: Confirmacao - horarios do semestre,Secretaria Academica,antes do seminario,,remoto - zoom,horarios do semestre,2026-07-24T21:39:42.179277
2980,Re: Tudo certo para a reuniao,Carolina Silva,segunda de manha,2026-06-08T06:00:00/2026-06-08T12:00:00,presencial - gabinete da direcao,avaliacao continua,2026-07-24T21:39:42.363668
5965,Re: Reuniao sobre preparacao da defesa,Professor Luis Almeida,,,presencial - secretaria,preparacao da defesa,2026-07-24T21:39:42.571113
6270,Marcacao de reuniao,Professora Sofia Carvalho,terca as 11h,2026-02-24T11:00:00,remoto - zoom,horarios do semestre,2026-07-24T21:39:42.734235
6449,Cancelamento de reuniao,Secretaria Academica,,,remoto - zoom,planeamento de aulas,2026-07-24T21:39:42.907870
746,Re: Reuniao confirmada,Professora Sofia Carvalho,durante a manha,2026-02-17T06:00:00/2026-02-17T12:00:00,presencial - sala 2.3,preparacao da defesa,2026-07-24T21:39:43.109062
4174,Re: Re: Marcacao de reuniao,Gabinete de Estagios,dia 22 as 17h,2026-03-22T17:00:00,presencial - laboratorio de informatica,Gabinete de Estagios,2026-07-24T21:39:43.266163
937,Confirmacao - coordenacao da unidade curricular,Professora Sofia Carvalho,antes do seminario,,remoto - zoom,coordenacao da unidade curricular,2026-07-24T21:39:43.439134
7381,Fw: Entrega de relatorio,Coordenacao de Mestrado,,,,relatorio de progresso,2026-07-24T21:39:43.602417
4302,Ponto de situacao,Professora Ana Costa,depois de almoco,,remoto - teams,validacao de atas,2026-07-24T21:39:43.772344
5914,Fw: Entrega de relatorio,Professor Luis Almeida,,,,submissao dos elementos de avaliacao,2026-07-24T21:39:43.930455
1988,Fw: Reuniao sem efeito,Mariana Lopes,,,presencial - sala B104,calendario de avaliacoes,2026-07-24T21:39:44.083605
7181,Fw: Confirmacao - relatorio de progresso,Rita Fernandes,,,remoto - zoom,relatorio de progresso,2026-07-24T21:39:44.235656
6128,Fw: Re: Marcacao de reuniao,Professor Luis Almeida,,,remoto - zoom,Professor Luis Almeida,2026-07-24T21:39:44.392301
16,Atualizacao de processo,Diretor do Curso,,,,Atualizacao de processo,2026-07-24T21:39:44.564762
3890,RE: Confirmado,Conselho Pedagogico,,,remoto - teams,Conselho Pedagogico,2026-07-24T21:39:44.710863
7813,Reuniao sobre credibilidade dos dados recolhidos,Professora Sofia Carvalho,amanha as 10h,2026-03-28T10:00:00,presencial - laboratorio de informatica,credibilidade dos dados recolhidos,2026-07-24T21:39:44.903244
943,RE: Agendamento - distribuicao de servico docente,Secretaria Academica,ao final do dia,,presencial - biblioteca,distribuicao de servico docente,2026-07-24T21:39:45.067395
2610,Imprevisto - analise dos resultados dos estudantes,Professora Ana Costa,antes do seminario,,remoto - zoom,analise dos resultados dos estudantes,2026-07-24T21:39:45.228017
7154,Indisponibilidade para a reuniao,Professora Sofia Carvalho,dia 22 as 17h,2026-03-22T17:00:00,remoto - zoom,Professora Sofia Carvalho,2026-07-24T21:39:45.383799
4623,Disponibilidade para reuniao,Professor Luis Almeida,segunda de manha,2026-03-23T06:00:00/2026-03-23T12:00:00,remoto - zoom,acompanhamento pedagogico,2026-07-24T21:39:45.538623
88,Re: Pedido de reuniao,Professora Sofia Carvalho,,,presencial - secretaria,acompanhamento pedagogico,2026-07-24T21:39:45.683791
